st_name,cofid,gas-ads
linker99_CH2_linker4_NH_qtz_relaxed,[CH2]C1([CH2])C=C(c2ccccc2)CC([CH2])([CH2])C1.[NH]c1ccc([NH])c([N+](=O)[O-])c1&&qtz.cat0,2.9164571403
linker102_CO_linker50_NH_crb_relaxed,O=Cc1ccc2c(c1)C1(c3cc(C=O)ccc3C2)c2cc(C=O)ccc2Cc2ccc(C=O)cc21.CNc1cnc2c([NH])ccc([NH])c2n1&&crb.cat0,2.8072505627
linker111_C_linker6_C_sql_relaxed,C[Si](C)(C)C.Cc1cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c1&&sql.cat0,2.6335828849
linker110_C_linker41_C_pcb_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1ccc(C)c2ocnc12&&pcb.cat0,2.9168674425
linker110_C_linker78_C_pcb_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.COc1nc(C)ncc1C&&pcb.cat0,2.2867498817
linker110_CO_linker45_NH_ana_relaxed,O=CC12CC3(C=O)CC(C=O)(C1)CC(C=O)(C2)C3.[NH]c1ccc([NH])c2nccnc12&&ana.cat0,2.99829645
linker91_CO_linker53_NH_hcb_relaxed,O=Cc1nc(C=O)nc(C=O)n1.CCc1nc2c([NH])ccc([NH])c2nc1CC&&hcb.cat0,2.9432151537
linker110_C_linker26_C_rho_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&rho.cat0,2.7581759433
linker109_NH_linker32_CO_qtz_relaxed_interp_3,[NH]C([NH])([NH])[NH].Nc1cc(C=O)cnc1-c1ncc(C=O)cc1N&&qtz.cat2,2.8927151837
linker104_CH2_linker75_NH_qtz_relaxed,[CH2]c1cc(-c2cc([CH2])c(O)c([CH2])c2O)c(O)c([CH2])c1O.[NH]c1cnc([NH])c(C(=O)[O-])n1&&qtz.cat0,2.5263185159
linker110_C_linker34_C_uke_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&uke.cat0,2.8720641755
linker103_C_linker68_C_sod_relaxed,Cc1ccc2c(c1)C1(c3cc(C)ccc3-2)c2cc(C)ccc2-c2ccc(C)cc21.Cc1cnc(C)c([N+](=O)[O-])n1&&sod.cat0,2.9801740272
